Place_Name,Category,Country,City,Price,PriceMYR,Rating,Coordinate,Lat,Long
The Brunei History Centre,Culture,Brunei,Bandar Seri Begawan,,0,,,4.917922,114.928345
The Sultan Omar Ali Saifuddien Mosque,Culture,Brunei,Bandar Seri Begawan,,0,,,4.918539,114.931641
The Tamu Kianggeh,Shopping,Brunei,Bandar Seri Begawan,,200,,,4.917879,114.928589
The Jerudong Night Safari,Amusement Park,Brunei,Bandar Seri Begawan,,105,,,4.911085,114.834351
The Brunei Museum Archaeology Gallery,Culture,Brunei,Bandar Seri Begawan,,Free,,,4.91642,114.927246
The Mall,Shopping,Brunei,Bandar Seri Begawan,,800,,,4.920578,114.930396
The Gadong Night Market,Shopping,Brunei,Bandar Seri Begawan,,500,,,4.91861,114.929352
Yayasan Sultan Haji Hassanal Bolkiah Complex,Shopping,Brunei,Bandar Seri Begawan,,500,,,4.8875,114.9408
Times Square Shopping Centre,Shopping,Brunei,Bandar Seri Begawan,,800,,,4.9396,114.9398
Mabohai Shopping Complex,Shopping,Brunei,Bandar Seri Begawan,,800,,,4.9085,114.9427
Aman Hills Shopping Centre,Shopping,Brunei,Bandar Seri Begawan,,800,,,4.948,114.9679
The OneCity,Shopping,Brunei,Bandar Seri Begawan,,700,,,4.921412,114.929443
Jerudong Water Park,Amusement Park,Brunei,Bandar Seri Begawan,,70,,,4.928878,114.93504
Bangar Town,Shopping,Brunei,Temburong,,700,,,4.892119,14.922614
Belalong Canopy Walkway,Nature,Brunei,Temburong,,35,,,4.893533,114.921157
Bukit Patoi Recreational Park,Nature,Brunei,Temburong,,0,,,4.916237,114.91082
Freme Lodge & Adventure Park,Nature,Brunei,Temburong,,103,,,4.922825,114.932739
Sumbiling Eco Village,Nature,Brunei,Temburong,,0,,,4.926573,114.918888
Sungai Apan Waterfall,Nature,Brunei,Temburong,,0,,,4.930677,114.923517
Taman Aie Tenab,Nature,Brunei,Temburong,,0,,,4.930652,114.922874
Tamu Bangar,Shopping,Brunei,Temburong,,0,,,4.892033,114.922453
Ulu Temburong National Park,Nature,Brunei,Temburong,,70,,,4.850861,114.934586
Temburong River,Nature,Brunei,Temburong,,0,,,4.857623,115.181644
Peliunan Park,Nature,Brunei,Temburong,,0,,,4.846379,115.161781
Bangar Heritage Walking Trail,Culture,Brunei,Temburong,,0,,,4.833029,115.154614
Desaru Coast Adventure Water Park,Amusement Park,Malaysia,Johor,,119,,,1.5380641,104.2629378
Pulau Rawa,Nature,Malaysia,Johor,,180,,,2.520353,103.9715036
Pulau Sibu,Nature,Malaysia,Johor,,150,,,2.214955,104.0531219
Pantai Desaru,Nature,Malaysia,Johor,,5,,,1.5402777,104.250546
Taman Negara Endau-Rompin,Nature,Malaysia,Johor,,30,,,2.471916,103.2663479
Legoland Malaysia Resort,Amusement Park,Malaysia,Johor,,150,,,1.4273918,103.630269
Kulim Eco Trail Retreat,Nature,Malaysia,Johor,,35,,,1.653948,103.927053
Taman Negara Tanjung Piai,Culture,Malaysia,Johor,,30,,,1.2681099,103.50871
Zoo Johor (Johor Safari Park),Amusement Park,Malaysia,Johor,,45,,,1.4575382,103.7521843
Austin Heights Water & Adventure Park,Amusement Park,Malaysia,Johor,,99,,,1.5621093,103.7757203
KUSO 3D Art Gallery,Culture,Malaysia,Johor,,25,,,1.550805,103.7851599
Bazaar Johor (Bazaar Karat),Shopping,Malaysia,Johor,,100,,,1.4582234,103.7641308
Johor Premium Outlet (JPO),Shopping,Malaysia,Johor,,500,,,1.6036577,103.6217117
Nasuha Herbs & Spice Farm,Nature,Malaysia,Johor,,10,,,2.1286989,102.7043346
Taman Buaya Teluk Sengat,Nature,Malaysia,Johor,,30,,,1.565062,104.0263751
Air Terjun Kota Tinggi,Nature,Malaysia,Johor,,0,,,1.8288717,103.827508
Kluang Coffee Powder Factory,Shopping,Malaysia,Johor,,0,,,2.0219969,103.324695
Danga Bay,Shopping,Malaysia,Johor,,0,,,1.4774347,103.7237595
Rock World,Amusement Park,Malaysia,Johor,,40,,,1.5795037,103.7290206
LOST in JB Escape Room,Amusement Park,Malaysia,Johor,,35,,,1.56116,103.779331
Desaru Ostrich Farm,Amusement Park,Malaysia,Johor,,20,,,1.3688686,104.2393249
Angry Bird Activity Park,Amusement Park,Malaysia,Johor,,50,,,1.4629344,103.7635333
Puteri Harbour Indoor Theme Park,Amusement Park,Malaysia,Johor,,95,,,1.4161576,103.6569392
Hutan Bandar MBJB,Nature,Malaysia,Johor,,0,,,1.4826838,103.7446561
Taman Negara Pulau Kukup,Nature,Malaysia,Johor,,10,,,1.3271947,103.4343101
Nanyang Fish Farm,Nature,Malaysia,Johor,,10,,,1.6977975,103.4888219
Laman Mahkota Istana Bukit Serene,Culture,Malaysia,Johor,,0,,,1.4804282,103.7226121
Masjid Sultan Abu Bakar,Culture,Malaysia,Johor,,0,,,1.45718,103.7513017
Taman Rekreasi Tanjung Emas,Nature,Malaysia,Johor,,0,,,2.0475785,102.5554697
Taman Hutan Lagenda Gunung Ledang,Nature,Malaysia,Johor,,10,,,2.3416687,102.6172876
Muzium Nelayan Tanjung Balau,Culture,Malaysia,Johor,,5,,,1.6148317,104.2578758
Desaru Fruit Farm,Nature,Malaysia,Johor,,13,,,1.5839028,104.1935403
Pantai Stulang Laut,Nature,Malaysia,Johor,,0,,,1.4691487,103.7788501
Pantai Minyak Beku,Nature,Malaysia,Johor,,0,,,1.7950466,102.8879349
Gunung Lambak,Nature,Malaysia,Johor,,3,,,2.0250108,103.3421733
Hutan Lipur Gunung Pulai 2,Nature,Malaysia,Johor,,3,,,1.592261,103.5105938
Pantai Air Papan,Nature,Malaysia,Johor,,0,,,2.5200953,103.828464
Wet World Batu Pahat Village Resort,Amusement Park,Malaysia,Johor,,55,,,1.8816269,102.9453083
Penggaram Square Batu Pahat,Shopping,Malaysia,Johor,,0,,,1.8476158,102.9348024
Puteri Harbour Marina,Nature,Malaysia,Johor,,0,,,1.417128,103.658282
Muzium Bugis Pontian,Culture,Malaysia,Johor,,2,,,1.4280325,103.4117978
Muzium Kota Johor Lama,Culture,Malaysia,Johor,,5,,,1.5806519,104.0177695
Muzium Layang-Layang Pasir Gudang,Culture,Malaysia,Johor,,3,,,1.4749938,103.9063984
Muzium Tokoh Johor,Culture,Malaysia,Johor,,5,,,1.4723095,103.7654617
Muzium Mersing,Culture,Malaysia,Johor,,0,,,2.4326646,103.8397028
Taman Merdeka,Culture,Malaysia,Johor,,0,,,1.4794193,103.735906
Kolam Air Panas Sungai Gersik,Nature,Malaysia,Johor,,25,,,1.940985,102.7422128
Don Hu Jurassic Park Muar,Amusement Park,Malaysia,Johor,,40,,,2.0801512,102.567715
Laser Battle Experience in Johor Bahru,Amusement Park,Malaysia,Johor,,35,,,1.462267,103.763438
Gunung Lambak Waterpark,Amusement Park,Malaysia,Johor,,35,,,2.0259501,103.3445032
ATV Park Johor,Amusement Park,Malaysia,Johor,,80,,,1.570525,103.6340862
Kota Tinggi Firefly Park,Nature,Malaysia,Johor,,20,,,1.7268249,103.9112664
UK Farm Agro Resort,Nature,Malaysia,Johor,,20,,,2.0181272,103.2187406
Taman Laut Sultan Iskandar (TLSI),Nature,Malaysia,Johor,,20,,,2.4513424,104.1055583
Galeri Darurat Bukit Kepong,Culture,Malaysia,Johor,,5,,,1.5392975,104.2599435
Pineapple Museum,Nature,Malaysia,Johor,,10,,,1.5070309,103.4447695
Pulau Pangkor,Nature,Malaysia,Perak,,2,,,4.211048,100.566611
Sunway Lost World of Tambun,Amusement Park,Malaysia,Perak,,118,,,4.625032,101.154866
Sungai Klah Hotspring,Nature,Malaysia,Perak,,20,,,3.997909,101.393726
Masjid Diraja Ubudiah,Culture,Malaysia,Perak,,0,,,4.764247,100.951115
Zoo Taiping dan Night Safari,Amusement Park,Malaysia,Perak,,53,,,4.854931,100.74968
Taman Rekreasi Gunung Lang,Nature,Malaysia,Perak,,3,,,4.628811,101.091043
Muzium Perak Taiping,Culture,Malaysia,Perak,,5,,,4.860952,100.745246
Kellie's Castle,Culture,Malaysia,Perak,,25,,,4.474413,101.087744
Sultan Azlan Shah Gallery,Culture,Malaysia,Perak,,0,,,4.766407,100.948163
Bukit Merah Lake Town Resort,Amusement Park,Malaysia,Perak,,35,,,4.994729,100.66006
Tasik Banding ,Nature,Malaysia,Perak,,30,,,5.545293,101.340114
Pulau Orang Utan,Nature,Malaysia,Perak,,50,,,5.008696,100.67558
Ladang Anggur Saloma,Nature,Malaysia,Perak,,25,,,4.150298,100.724553
Teluk Senangin,Nature,Malaysia,Perak,,0,,,4.299562,100.579854
Pantai Teluk Batik,Nature,Malaysia,Perak,,0,,,4.187555,100.607385
Menara Condong Teluk Intan,Culture,Malaysia,Perak,,0,,,4.025124,101.019265
Bukit Larut (Maxwell Hill),Nature,Malaysia,Perak,,5,,,4.861948,100.793072
Taman Tasik Taiping,Nature,Malaysia,Perak,,0,,,4.852485,100.749508
Kuala Sepetang,Nature,Malaysia,Perak,,0,,,4.83483,100.627754
Muzium Geologi Ipoh,Culture,Malaysia,Perak,,5,,,4.597575,101.119787
Gua Tempurung,Nature,Malaysia,Perak,,20,,,4.416052,101.187685
Kledang Saiong Forest Eco Park,Nature,Malaysia,Perak,,10,,,4.683884,101.068489
Lata Ulu Chepor,Nature,Malaysia,Perak,,5,,,4.700481,101.077273
Pasar Karat Ipoh,Shopping,Malaysia,Perak,,0,,,4.596028,101.090061
Muzium Arkeologi Lenggong,Culture,Malaysia,Perak,,20,,,5.054849,100.974057
The Banjaran Hotsprings Retreat,Nature,Malaysia,Perak,,120,,,4.631085,101.156119
Kek Long Tong Cave Temple,Nature,Malaysia,Perak,,10,,,4.558974,101.129372
Tasik Cermin Gunung Rapat,Nature,Malaysia,Perak,,3,,,4.558863,101.120114
Masjid Sultan Idris Shah II,Culture,Malaysia,Perak,,0,,,4.596431,101.075759
Masjid Muhammadiyah Ipoh,Culture,Malaysia,Perak,,0,,,4.649564,101.107264
Air Terjun Lata Iskandar,Nature,Malaysia,Perak,,0,,,4.324169,101.325643
Bukit Kledang,Nature,Malaysia,Perak,,0,,,4.580432,101.025348
Ladang Limau Tambun GOChin,Nature,Malaysia,Perak,,10,,,4.564755,101.113652
Air Terjun Ulu Kenas,Nature,Malaysia,Perak,,5,,,4.686899,100.885694
Air Terjun Lata Kinjang,Nature,Malaysia,Perak,,5,,,4.298829,101.25398
Taman Eko Rimba Lata Kekabu,Nature,Malaysia,Perak,,2,,,5.050415,100.944805
Riverside Camp Gopeng,Nature,Malaysia,Perak,,30,,,4.447799,101.198411
Pusat Rekreasi Hotsprings Lubuk Timah,Amusement Park,Malaysia,Perak,,15,,,4.559721,101.161984
Kubu Belanda,Culture,Malaysia,Perak,,0,,,4.200773,100.575989
Lata Tebing Tinggi,Nature,Malaysia,Perak,,0,,,5.206165,100.78105
Ulu River Lodge,Nature,Malaysia,Perak,,150,,,4.443945,101.198883
Trong Hotspring,Nature,Malaysia,Perak,,20,,,4.752623,100.721087
Ipoh Mural Art Trail,Culture,Malaysia,Perak,,0,,,4.595302,101.078567
Spritzer Eco Park,Nature,Malaysia,Perak,,30,,,4.820832,100.75203
Kompleks Sejarah Pasir Salak,Culture,Malaysia,Perak,,10,,,4.173473,100.94692
Pusat Konservasi Penyu Segari,Nature,Malaysia,Perak,,5,,,4.363038,100.581382
Victoria Bridge,Culture,Malaysia,Perak,,0,,,4.837678,100.963792
Batu Caves,Culture,Malaysia,Selangor,,3,,,3.253582,101.669762
Farm in the City,Amusement Park,Malaysia,Selangor,,35,,,3.083657,101.623811
Kampung Kuantan Fireply Park,Nature,Malaysia,Selangor,,30,,,3.121226,101.645934
FRIM,Nature,Malaysia,Selangor,,10,,,3.100524,101.680023
Zoo Negara,Amusement Park,Malaysia,Selangor,,35,,,3.13168,101.681116
Sky Mirror,Nature,Malaysia,Selangor,,10,,,3.0124,101.663564
Broga Hill,Nature,Malaysia,Selangor,,5,,,2.8803,101.924472
Pulau Ketam,Nature,Malaysia,Selangor,,5,,,3.216119,101.397068
Templer Park,Nature,Malaysia,Selangor,,5,,,3.11388,101.628889
The Secret Garden Utama,Nature,Malaysia,Selangor,,30,,,3.013611,101.668889
Taman Botani Negara Shah Alam,Nature,Malaysia,Selangor,,10,,,3.076389,101.623611
Kuala Selangor Nature Park,Nature,Malaysia,Selangor,,10,,,3.310278,101.3425
Gunung Nuang,Nature,Malaysia,Selangor,,30,,,3.1325,101.908333
Ramayana Cave,Culture,Malaysia,Selangor,,10,,,3.259444,101.770278
Chiling Waterfall,Nature,Malaysia,Selangor,,5,,,3.148333,101.79
Cyberjaya Lake Gardens,Nature,Malaysia,Selangor,,0,,,2.936944,101.666944
Shah Alam Lake Garden,Nature,Malaysia,Selangor,,0,,,3.066667,101.616667
Bagan Lalang Beach,Nature,Malaysia,Selangor,,0,,,3.033333,101.666667
Saga Hill Trial,Nature,Malaysia,Selangor,,0,,,3.263552,101.656149
Bukit Kutu,Nature,Malaysia,Selangor,,5,,,3.173453,101.627036
Pantai Morib,Nature,Malaysia,Selangor,,0,,,3.320924,101.473238
Pantai Remis,Nature,Malaysia,Selangor,,0,,,3.285764,101.522439
Ayer Hitam Forest Reserve,Nature,Malaysia,Selangor,,10,,,3.355207,101.46363
Sunway Pyramid,Shopping,Malaysia,Selangor,,300,,,3.076733,101.613467
Sultan Salahuddin Abdul Aziz Shah Mosque,Culture,Malaysia,Selangor,,0,,,3.083981,101.624564
Mitsui Outlet,Shopping,Malaysia,Selangor,,700,,,3.072648,101.614702
Setia City Mall,Shopping,Malaysia,Selangor,,200,,,3.074947,101.623412
Paradigm Mall,Shopping,Malaysia,Selangor,,200,,,3.076062,101.621977
IOI Mall,Shopping,Malaysia,Selangor,,500,,,3.07633,101.623468
I-City,Amusement Park,Malaysia,Selangor,,50,,,3.07722,101.622736
Sunway Lagoon,Amusement Park,Malaysia,Selangor,,150,,,3.012807,101.66329
The Mines,Shopping,Malaysia,Selangor,,200,,,3.051716,101.602703
Tamarind Square,Shopping,Malaysia,Selangor,,200,,,3.038599,101.653953
Bangi Wonderland,Amusement Park,Malaysia,Selangor,,138,,,3.112314,101.543276
Kidzania,Amusement Park,Malaysia,Selangor,,168,,,3.06648,101.616312
Wet World Water Park Shah Alam,Amusement Park,Malaysia,Selangor,,95,,,3.076276,101.623528
Escape Petaling Jaya,Amusement Park,Malaysia,Selangor,,135,,,3.079354,101.624393
Astaka Morocco,Culture,Malaysia,Selangor,,20,,,3.078046,101.624265
Istana Shah Alam,Culture,Malaysia,Selangor,,0,,,3.083911,101.623915
Muzium Sabak Bernam,Culture,Malaysia,Selangor,,3,,,3.20021,101.43722
Kuan Yin Temple,Culture,Malaysia,Selangor,,0,,,3.036442,101.652343
Muzium Orang Asli Gombak,Culture,Malaysia,Selangor,,5,,,3.113021,101.628768
Muzium Automobil Nasional,Culture,Malaysia,Selangor,,30,,,3.087483,101.62125
Hatter's Castle,Culture,Malaysia,Selangor,,15,,,3.074714,101.62408
Pulau Carey,Culture,Malaysia,Selangor,,0,,,3.229304,101.370879
Little India Kelang,Culture,Malaysia,Selangor,,0,,,3.118751,101.669376
Bukit Melawati,Culture,Malaysia,Selangor,,5,,,3.068399,101.616636
"Sri Shakti Temple, Bukit Rotan",Culture,Malaysia,Selangor,,0,,,3.07376,101.626271
Pulau Perhentian,Nature,Malaysia,Terengganu,,35,,,5.27315,102.974298
Turtle Sanctuary Becah,Nature,Malaysia,Terengganu,,0,,,5.239332,102.968682
Tasik Kenyir,Nature,Malaysia,Terengganu,,15,,,4.94382,103.10656
Long Beach,Nature,Malaysia,Terengganu,,0,,,5.281807,102.972751
Pulau Kapas,Nature,Malaysia,Terengganu,,30,,,5.30301,102.988274
Teluk Keke,Nature,Malaysia,Terengganu,,0,,,5.276654,102.97449
Batu Buruk Beach,Nature,Malaysia,Terengganu,,0,,,5.349044,103.015302
Sekayu Waterfall,Nature,Malaysia,Terengganu,,0,,,5.289528,103.019422
Bukit Kluang Beach,Nature,Malaysia,Terengganu,,0,,,5.310908,102.98552
Gemia Island,Nature,Malaysia,Terengganu,,0,,,5.190096,103.078064
Teluk Kalong Beach,Nature,Malaysia,Terengganu,,0,,,5.289944,102.970654
Pantai Teluk Bidara,Nature,Malaysia,Terengganu,,0,,,5.324968,103.006828
Kemasik Beach,Nature,Malaysia,Terengganu,,0,,,5.36827,103.003015
La Hot Springs,Nature,Malaysia,Terengganu,,40,,,5.220254,103.017634
Coray Bay Teluk Aur,Nature,Malaysia,Terengganu,,0,,,5.250196,103.011509
Air Terjun Chemerong,Nature,Malaysia,Terengganu,,0,,,4.960512,103.090417
Kemaman Recreation Park and Mini Zoo,Nature,Malaysia,Terengganu,,2,,,5.364296,103.007742
Masjid Kristal,Culture,Malaysia,Terengganu,,0,,,5.265093,102.978952
Taman Tamadun Islam,Culture,Malaysia,Terengganu,,30,,,5.265565,102.980064
Kota Lama Duyung,Culture,Malaysia,Terengganu,,0,,,5.197247,103.075204
Terengganu State Museum,Culture,Malaysia,Terengganu,,0,,,5.265908,102.979028
Masjid Sultan Zainal Abidin,Culture,Malaysia,Terengganu,,0,,,5.265902,102.97941
Terengganu Inscription Stone,Culture,Malaysia,Terengganu,,0,,,5.265105,102.979108
Ho Ann Kiong Temple,Culture,Malaysia,Terengganu,,0,,,5.257111,102.987246
Tengku Tengah Zaharah Mosque,Culture,Malaysia,Terengganu,,0,,,5.26572,102.979003
Pasar Payang,Shopping,Malaysia,Terengganu,,200,,,5.266681,102.980579
Chinatown Terengganu,Culture,Malaysia,Terengganu,,0,,,5.267463,102.980802
Turtle Sculture,Culture,Malaysia,Terengganu,,0,,,5.265729,102.979012
Kuala Terengganu Drawbridge,Culture,Malaysia,Terengganu,,0,,,5.266197,102.980128
Maziah Palace,Culture,Malaysia,Terengganu,,0,,,5.265271,102.979225
Paya Bunga Square,Shopping,Malaysia,Terengganu,,200,,,5.267112,102.980686
Uptown Kontena,Shopping,Malaysia,Terengganu,,200,,,5.266729,102.98059
KTCC Mall,Shopping,Malaysia,Terengganu,,300,,,5.265756,102.97906
Noor Arfa Craft Complex,Shopping,Malaysia,Terengganu,,300,,,5.272215,102.97583
Bazaar Warisan Terengganu,Shopping,Malaysia,Terengganu,,300,,,5.266378,102.980123
Genting Skyway,Nature,Malaysia,Pahang,,33,,,3.589785,101.721299
Kuala Gandah Elephant Sanctuary,Nature,Malaysia,Pahang,,0,,,3.909715,101.974083
Mossy Forest,Nature,Malaysia,Pahang,,3,,,4.03005,101.479847
Chin Swee Cave Temple,Culture,Malaysia,Pahang,,0,,,3.55573,101.710794
Taman Negara Natioanal Park Pahang,Nature,Malaysia,Pahang,,30,,,4.194511,101.784292
Cameron Bharat Tea Estate,Nature,Malaysia,Pahang,,0,,,4.03627,101.478141
Teluk Chempedak,Nature,Malaysia,Pahang,,0,,,3.506157,103.092403
Genting Highland Premium Outlets,Shopping,Malaysia,Pahang,,500,,,3.589732,101.720381
Big Red Strawberry Farm Cameron Highland,Nature,Malaysia,Pahang,,20,,,4.03505,101.477765
Time Tunnel Museum,Culture,Malaysia,Pahang,,30,,,4.496888,101.39507
Genting Highland Theme Park,Amusement Park,Malaysia,Pahang,,128,,,3.589732,101.720381
Colmar Tropicale Berjaya Hill,Nature,Malaysia,Pahang,,35,,,3.5496,101.705994
Fraser's Hill,Nature,Malaysia,Pahang,,0,,,3.540849,101.800421
Tioman Island,Nature,Malaysia,Pahang,,30,,,3.224088,103.653915
Masjid Negeri Pahang (Sultan Ahmad 1) Kuantan,Culture,Malaysia,Pahang,,0,,,3.893089,103.034857
Sri Marathandavar Aalayam Maran,Culture,Malaysia,Pahang,,0,,,4.017097,103.05447
Sungai Lembing,Culture,Malaysia,Pahang,,0,,,3.446467,103.173096
Panching Caves,Culture,Malaysia,Pahang,,0,,,3.53684,101.814835
Lake Chini,Culture,Malaysia,Pahang,,10,,,3.501074,101.895126
Bukit Gambang Water Park,Amusement Park,Malaysia,Pahang,,30,,,3.99366,103.332304
Kubang Gajah Waterpark,Amusement Park,Malaysia,Pahang,,15,,,4.118345,103.249939
Adventure Park by Colmar Tropic,Amusement Park,Malaysia,Pahang,,50,,,3.5496,101.705994
Bilut Extreme Park,Amusement Park,Malaysia,Pahang,,30,,,3.479337,103.289734
Jengka Wonderlan,Amusement Park,Malaysia,Pahang,,20,,,3.42168,103.164261
Taman Air DarulMakmur,Amusement Park,Malaysia,Pahang,,10,,,3.566106,103.361908
Tc theme park Kuantan,Amusement Park,Malaysia,Pahang,,25,,,3.53129,103.359253
First World Plaza,Shopping,Malaysia,Pahang,,300,,,3.589732,101.720381
East Coast Mall,Shopping,Malaysia,Pahang,,300,,,3.591785,101.725861
Kea Farm Market,Shopping,Malaysia,Pahang,,100,,,3.263552,101.656149
Bentong Walk,Shopping,Malaysia,Pahang,,100,,,3.56179,102.950317
Hasil Laut Kiah Kee,Shopping,Malaysia,Pahang,,100,,,3.53684,101.814835
Kuantan Parade,Shopping,Malaysia,Pahang,,300,,,3.53002,103.359741
Kuantan City Mall,Shopping,Malaysia,Pahang,,300,,,3.53099,103.359192
Brinchang Night Market,Shopping,Malaysia,Pahang,,150,,,4.03005,101.479847
Natural Batik Village Pahang,Culture,Malaysia,Pahang,,0,,,3.53888,103.358337
Sepilok Orangutan Rehabilitation Centre,Nature,Malaysia,Sabah,,0,,,5.12049,118.32464
Mount Kinabalu,Nature,Malaysia,Sabah,,50,,,5.088373,116.565765
Labuk Bay Proboscis Money Sanctuary,Nature,Malaysia,Sabah,,0,,,5.239332,102.968682
Manukan Island,Nature,Malaysia,Sabah,,15,,,5.078487,116.091667
Borneon Sun Bear Conservation Centre,Nature,Malaysia,Sabah,,30,,,5.116611,116.123556
Sapi Island,Nature,Malaysia,Sabah,,15,,,5.07975,116.0925
Turtle Island Park,Nature,Malaysia,Sabah,,10,,,5.078611,116.0925
Kinabalu Park,Nature,Malaysia,Sabah,,50,,,5.088373,116.565765
Sipadan National Park,Nature,Malaysia,Sabah,,0,,,5.373778,117.625
Rasa Ria Reserve by Shangri-La,Nature,Malaysia,Sabah,,130,,,5.103583,117.279889
Tunku Abdul Rahman Marine Park,Nature,Malaysia,Sabah,,10,,,5.078333,116.093333
Mamutik Island,Nature,Malaysia,Sabah,,15,,,5.078056,116.093333
Poring Hot Springs,Nature,Malaysia,Sabah,,30,,,5.113611,116.1225
Danum Valley Conservation Area,Nature,Malaysia,Sabah,,50,,,5.357231,117.496963
Deramakot Forest Reserve,Nature,Malaysia,Sabah,,0,,,4.918694,117.515912
Tanjung Aru Beach,Nature,Malaysia,Sabah,,0,,,5.085278,116.095
Lok Kawi Wildlife Park,Nature,Malaysia,Sabah,,40,,,5.049167,116.109167
Bohey Dulang Island,Nature,Malaysia,Sabah,,30,,,5.234167,117.572222
Tawau Hills Park,Nature,Malaysia,Sabah,,0,,,5.030556,117.683333
Sosodikon Hill,Nature,Malaysia,Sabah,,0,,,5.063333,117.696667
Lanyakan Island,Nature,Malaysia,Sabah,,0,,,5.233333,117.575
Weston Wetland Park,Nature,Malaysia,Sabah,,0,,,5.183333,117.273333
Tambunan Rafflesia Reserve,Nature,Malaysia,Sabah,,0,,,5.266667,116.783333
Tabin Widlife Reserve,Nature,Malaysia,Sabah,,50,,,5.357231,117.496963
Marine Ecology Research Centre,Nature,Malaysia,Sabah,,0,,,5.075278,116.100833
Kota Kinabalu Wetland Centre,Nature,Malaysia,Sabah,,0,,,5.085278,116.095
Imago Shopping Mall,Shopping,Malaysia,Sabah,,200,,,5.06989,116.07205
Gaya Street Sunday Market,Shopping,Malaysia,Sabah,,50,,,5.058891,116.09433
Night Market Kota Kinabalu,Shopping,Malaysia,Sabah,,50,,,5.066667,116.091667
Suria Sabah,Shopping,Malaysia,Sabah,,100,,,5.065556,116.095833
Filipino Market,Shopping,Malaysia,Sabah,,50,,,5.060556,116.095278
Centre Point Sabah,Shopping,Malaysia,Sabah,,200,,,5.064167,116.092778
Kota Kinabalu City Waterfront,Shopping,Malaysia,Sabah,,100,,,5.070833,116.089167
The Nabalu Market,Shopping,Malaysia,Sabah,,50,,,5.075,116.094167
One Borneo Hypermall,Shopping,Malaysia,Sabah,,100,,,5.068333,116.085278
Oceanus Waterfront Mall,Shopping,Malaysia,Sabah,,200,,,5.070556,116.085556
Borneo Trading Post,Shopping,Malaysia,Sabah,,200,,,5.0725,116.082778
Tuaran Sunday Market,Shopping,Malaysia,Sabah,,100,,,5.938542,116.16761
Warisan Square,Shopping,Malaysia,Sabah,,100,,,5.076667,116.090278
Handicraft Market,Shopping,Malaysia,Sabah,,100,,,5.068889,116.091111
Tamu Market of Kota Belud,Shopping,Malaysia,Sabah,,50,,,6.0425,116.244444
Asquare Container Night Market,Shopping,Malaysia,Sabah,,50,,,5.075278,116.088889
Murut Cultural Center,Shopping,Malaysia,Sabah,,50,,,5.978889,116.199444
Pasar Besar Kota Kinabalu,Shopping,Malaysia,Sabah,,50,,,5.067222,116.088333
Jesselton Duty Free,Shopping,Malaysia,Sabah,,300,,,5.073611,116.091944
Sabah State Museum,Culture,Malaysia,Sabah,,0,,,5.0725,116.082778
Mari Mari Cultural Village,Culture,Malaysia,Sabah,,35,,,5.076667,116.090278
Masjid Bandaraya Kota Kinabalu,Culture,Malaysia,Sabah,,0,,,5.078889,116.087222
Sabah State Mosque,Culture,Malaysia,Sabah,,0,,,5.081667,116.086111
Atkinson Clock Tower,Culture,Malaysia,Sabah,,0,,,5.0775,116.091667
Sabah Art Gallery,Culture,Malaysia,Sabah,,0,,,5.073611,116.091944
Kota Kinabalu City Mosque,Culture,Malaysia,Sabah,,0,,,5.0775,116.088333
Monsopiad Heritage Village,Culture,Malaysia,Sabah,,30,,,5.028056,116.178056
Pillars of Sabah,Culture,Malaysia,Sabah,,0,,,5.075,116.094167
Agnes Keith House,Culture,Malaysia,Sabah,,0,,,5.066667,116.091667
St. Michael's and All Angels Church,Culture,Malaysia,Sabah,,0,,,5.073333,116.091667
Sandakan Heritage Trail,Culture,Malaysia,Sabah,,0,,,5.9375,116.160833
Sandakan Memorial Park,Culture,Malaysia,Sabah,,0,,,5.935,116.160833
De Borneo Waterpark,Amusement Park,Malaysia,Sabah,,60,,,5.966849,116.223251
Taman Bandukan Riverside Resort,Amusement Park,Malaysia,Sabah,,20,,,5.975278,116.214444
Fun Splash,Amusement Park,Malaysia,Sabah,,35,,,5.953611,116.2225
JSK Borneo Reef,Amusement Park,Malaysia,Sabah,,100,,,5.948889,116.230278
Jurassic Land Kiulu,Amusement Park,Malaysia,Sabah,,50,,,5.938056,116.230556
Semenggoh Nature Reserve,Nature,Malaysia,Sarawak,,0,,,1.220278,110.352778
Bako National Park,Nature,Malaysia,Sarawak,,20,,,1.171944,110.358056
Mulu World Heritage Area,Nature,Malaysia,Sarawak,,50,,,4.305556,113.833889
Niah Caves,Nature,Malaysia,Sarawak,,30,,,2.8803,113.019422
Fairy Caves,Nature,Malaysia,Sarawak,,0,,,1.156667,110.355556
Kubah National Park,Nature,Malaysia,Sarawak,,10,,,1.236667,110.347222
Deer Cave,Nature,Malaysia,Sarawak,,20,,,1.165556,110.357222
Mount Santubong,Nature,Malaysia,Sarawak,,0,,,1.230556,110.375556
The Pinnacles Trail,Nature,Malaysia,Sarawak,,50,,,1.219444,110.353611
Mulu Caves,Nature,Malaysia,Sarawak,,50,,,4.305556,113.833889
Sarawak Orchid Garden,Nature,Malaysia,Sarawak,,10,,,1.548333,110.341111
Clearwater/Wind Show Caves,Nature,Malaysia,Sarawak,,0,,,1.160556,110.356667
The Great Orangutan Project,Nature,Malaysia,Sarawak,,0,,,1.227778,110.352222
Kuching Wetlands National Park,Nature,Malaysia,Sarawak,,0,,,1.533056,110.338611
